Date,Inflow 2019-2020 (cfs),Inflow 2020-2021 (cfs),Inflow 2021-2022 (cfs),Inflow 2022-2023 (cfs)
22-Apr,281.6,187.2,584.8,150.1
23-Apr,246,171.7,471.8,754.9
24-Apr,259.9,160.9,406.9,448.6
25-Apr,255.3,159.3,360.5,349.6
26-Apr,334.2,153.3,354.3,295.5
27-Apr,560,140.8,368.2,338.8
28-Apr,354.3,134,317.1,310.9
29-Apr,293.9,142.2,266.1,335.7
30-Apr,309.4,204.2,239.8,491.9
01-May,1779.1,149.6,222.8,1655.3
02-May,1106.1,125.8,247.5,826.1
03-May,649.7,118.3,246,581.7
04-May,464.1,170.2,286.2,580.1
05-May,379,1748.1,266.1,573.9
06-May,326.4,756.5,238.2,535.3
07-May,295.5,431.6,318.7,450.2
08-May,281.6,369.7,247.5,397.6
09-May,315.6,357.4,213.5,328
10-May,259.9,690,191.8,283.1
11-May,247.5,436.3,179.5,250.6
12-May,258.3,354.3,168.6,227.4
13-May,216.6,300.1,159.3,205.8
14-May,198,267.6,154.7,184.1
15-May,204.2,244.4,182.5,162.4
16-May,219.7,224.3,235.1,150.1
17-May,188.7,208.8,252.2,138.6
18-May,174.8,194.9,185.6,123.3
19-May,160.9,177.9,221.2,118.3
20-May,145.9,160.9,246,116.5
21-May,136.6,147,283.1,112.5
22-May,130.9,141.1,215,93.1
23-May,145.7,134.3,181,91.6
24-May,140.3,122.2,156.2,86.5
25-May,121.6,113.7,144.5,76.6
26-May,112.5,109.8,134.1,72.2
27-May,105.8,136.6,131.2,67.6
28-May,99.9,127.5,179.5,65.9
29-May,108.6,358.9,202.7,64.4
30-May,136.1,304.8,162.4,65.9
31-May,101.6,386.8,137.2,65.6
01-Jun,84.9,263,162.4,64
02-Jun,80.6,210.4,457.9,63.6
03-Jun,98.4,185.6,224.3,64.2
04-Jun,145.1,176.4,151.9,60.5
05-Jun,101.3,167.1,120.8,58
06-Jun,89.7,143.7,106,55.2
07-Jun,75.6,129,106.9,54
08-Jun,66.4,125.2,154.7,54.5
09-Jun,54.3,134.3,340.3,54.3
10-Jun,50.7,112.6,201.1,53.7
11-Jun,730.2,98.2,137.5,52.8
12-Jun,273.8,91.9,115.7,54.3
13-Jun,164,97.2,125.6,116.3
14-Jun,114.8,99.8,108,63.7
15-Jun,93,98.9,96.8,67
16-Jun,81.5,83.1,128.9,54.8
17-Jun,72.9,71.8,120,53.5
18-Jun,67.4,67.9,97.2,47
19-Jun,64.4,64.5,87.1,52.3
20-Jun,59.6,64.5,80.1,51.1
21-Jun,55.1,63.3,78.6,48.7
22-Jun,52.9,111.7,85.2,47.6
23-Jun,51.5,91.4,184.1,47.6
24-Jun,58.3,68.7,171.7,56.8
25-Jun,50.1,62.7,117.1,54.9
26-Jun,46.6,59.7,95.1,80.9
27-Jun,70.7,58.5,99.5,185.6
28-Jun,84.6,57.5,95.9,100.9
29-Jun,69.2,54,84.8,74.9
30-Jun,67.1,59.3,75,62.2
01-Jul,69.8,71.8,70.9,59.1
02-Jul,52,106.4,119.1,90.2
03-Jul,46.3,188.7,112.8,413
04-Jul,56.8,125.8,79.8,454.8
05-Jul,45.9,89.9,72.6,259.9
06-Jul,67.8,75,73.3,147.3
07-Jul,85.2,76.9,70.1,119.4
08-Jul,141.4,386.8,68.7,270.7
09-Jul,134.6,1748.1,61.7,430.1
10-Jul,236.7,597.1,57.4,1562.5
11-Jul,649.7,354.3,55.8,454.8
12-Jul,289.3,1073.6,56,266.1
13-Jul,184.1,691.5,76.3,201.1
14-Jul,132.6,736.4,66.7,343.4
15-Jul,103.3,457.9,56.2,278.5
16-Jul,88,352.7,51.2,646.6
17-Jul,82.6,479.6,50.6,569.3
18-Jul,76.3,1686.2,56.6,358.9
19-Jul,68.4,734.8,90.5,253.7
20-Jul,107.8,439.3,56.9,196.5
21-Jul,82.1,363.5,51.8,179.5
22-Jul,70.4,290.8,46.4,151.1
23-Jul,61.1,241.3,45.9,127.2
24-Jul,58.8,211.9,42.9,116.3
25-Jul,55.8,196.5,57.4,122.7
26-Jul,52,181,65.1,116.6
27-Jul,44.9,160.9,50.9,102.3
28-Jul,42.4,162.4,48.3,111.4
29-Jul,39.6,149.1,48.7,102.7
30-Jul,39.3,156.2,43.5,145.9
31-Jul,38.4,127.8,39.3,97.9
01-Aug,34.2,112.5,41.5,83.8
02-Aug,37.4,105.2,42.2,75.8
03-Aug,38.2,93.6,39.9,69.9
04-Aug,1414,87.1,37,108
05-Aug,1180.4,82.3,38.4,259.9
06-Aug,414.6,78,40.7,140
07-Aug,272.3,73.2,38.7,306.3
08-Aug,211.9,70.1,37.9,901.9
